행정동코드,시도명,시군구명,행정동명,총생활인구수
11590540,서울,동작구,상도2동,22299.4453
11590550,서울,동작구,상도3동,17864.37953
11590560,서울,동작구,상도4동,21996.31537
11590605,서울,동작구,흑석동,33232.53744
11590620,서울,동작구,사당1동,25387.89286
11590630,서울,동작구,사당2동,32093.28477
11590640,서울,동작구,사당3동,20281.72458
11590650,서울,동작구,사당4동,12593.54839
11590651,서울,동작구,사당5동,11043.95156
11590660,서울,동작구,대방동,41270.79426
11590670,서울,동작구,신대방1동,17466.18148
11590680,서울,동작구,신대방2동,24612.00251
11620525,서울,관악구,보라매동,16776.03986
11620545,서울,관악구,청림동,10826.27435
11620565,서울,관악구,성현동,22700.52773
11620575,서울,관악구,행운동,23485.26966
11620585,서울,관악구,낙성대동,23840.5828
11620595,서울,관악구,청룡동,38399.13125
11620605,서울,관악구,은천동,28326.15057
11620615,서울,관악구,중앙동,16160.77458
11620625,서울,관악구,인헌동,25037.68519
11620630,서울,관악구,남현동,23262.19274
11620645,서울,관악구,서원동,22404.12189
11620655,서울,관악구,신원동,16644.189
11620665,서울,관악구,서림동,17162.86268
11620685,서울,관악구,신사동,20956.64289
11620695,서울,관악구,신림동,29373.24969
11620715,서울,관악구,난향동,10440.75223
11620725,서울,관악구,조원동,27738.2687
11620735,서울,관악구,대학동,32643.68026
11620745,서울,관악구,삼성동,19971.74656
11620765,서울,관악구,미성동,21056.98126
11620775,서울,관악구,난곡동,18084.52092
11650510,서울,서초구,서초1동,31279.03322
11650520,서울,서초구,서초2동,44499.96665
11650530,서울,서초구,서초3동,64478.26699
11650531,서울,서초구,서초4동,41698.68241
11650540,서울,서초구,잠원동,33418.548
11650550,서울,서초구,반포본동,3090.735532
11650560,서울,서초구,반포1동,32675.07722
11650570,서울,서초구,반포2동,16794.60152
11650580,서울,서초구,반포3동,22764.39012
11650581,서울,서초구,반포4동,43774.31532
11650590,서울,서초구,방배본동,18589.09758
11650600,서울,서초구,방배1동,20952.3261
11650610,서울,서초구,방배2동,20581.53172
11650620,서울,서초구,방배3동,17622.98724
11650621,서울,서초구,방배4동,27191.61425
11650651,서울,서초구,양재1동,53712.46886
11650652,서울,서초구,양재2동,37963.66128
11650660,서울,서초구,내곡동,24776.74946
11680510,서울,강남구,신사동,36559.93489
11680521,서울,강남구,논현1동,43153.63687
11680531,서울,강남구,논현2동,43742.10997
11680545,서울,강남구,압구정동,42611.66022
11680565,서울,강남구,청담동,42712.07718
11680580,서울,강남구,삼성1동,39872.63945
11680590,서울,강남구,삼성2동,40086.85773
11680600,서울,강남구,대치1동,28441.41314
11680610,서울,강남구,대치2동,49320.78127
11680630,서울,강남구,대치4동,39114.49355
11680640,서울,강남구,역삼1동,103990.6984
11680650,서울,강남구,역삼2동,53685.70345
11680655,서울,강남구,도곡1동,35123.72309
11680656,서울,강남구,도곡2동,29713.43697
11680660,서울,강남구,개포1동,8841.23217
11680670,서울,강남구,개포2동,24960.90565
11680690,서울,강남구,개포4동,16103.43084
11680700,서울,강남구,세곡동,45378.28516
11680720,서울,강남구,일원본동,25058.02946
11680730,서울,강남구,일원1동,15971.78322
11680740,서울,강남구,일원2동,16590.65926
11680750,서울,강남구,수서동,23249.46588
11710510,서울,송파구,풍납1동,15306.16668
11710520,서울,송파구,풍납2동,36432.88955
11710531,서울,송파구,거여1동,12388.60694
11710532,서울,송파구,거여2동,18520.23178
11710540,서울,송파구,마천1동,12337.99495
11710550,서울,송파구,마천2동,14962.29514
11710561,서울,송파구,방이1동,18124.05215
11710562,서울,송파구,방이2동,36258.49341
11710566,서울,송파구,오륜동,18386.42015
11710570,서울,송파구,오금동,36736.62209
11710580,서울,송파구,송파1동,30461.3076
11710590,서울,송파구,송파2동,18849.72245
11710600,서울,송파구,석촌동,29360.22735
11710610,서울,송파구,삼전동,30565.97745
11710620,서울,송파구,가락본동,38581.75805
11710631,서울,송파구,가락1동,27221.89336
11710632,서울,송파구,가락2동,26302.576
11710641,서울,송파구,문정1동,20588.81383
11710642,서울,송파구,문정2동,40231.52853
11710646,서울,송파구,장지동,33903.12615
11710647,서울,송파구,위례동,42756.88633
11710650,서울,송파구,잠실본동,34595.04186
11710670,서울,송파구,잠실2동,32376.66956
11710680,서울,송파구,잠실3동,45943.725
11710690,서울,송파구,잠실4동,19910.79597
11710710,서울,송파구,잠실6동,40156.51351
11710720,서울,송파구,잠실7동,10028.47216
11740515,서울,강동구,강일동,50966.72231
11740515,서울,강동구,상일2동,50966.72231
11740520,서울,강동구,상일1동,38252.3968
11740530,서울,강동구,명일1동,26714.83676
11740540,서울,강동구,명일2동,16134.00074
11740550,서울,강동구,고덕1동,24626.51816
11740560,서울,강동구,고덕2동,21072.16406
11740570,서울,강동구,암사1동,27800.34992
11740580,서울,강동구,암사2동,14693.18936
11740590,서울,강동구,암사3동,13592.72821
11740600,서울,강동구,천호1동,30890.02097
11740610,서울,강동구,천호2동,44261.86911
11740620,서울,강동구,천호3동,27637.44973
11740640,서울,강동구,성내1동,24028.23088
11740650,서울,강동구,성내2동,24956.8342
11740660,서울,강동구,성내3동,26769.32989
11740685,서울,강동구,길동,55369.7207
11740690,서울,강동구,둔촌1동,4569.812773
11740700,서울,강동구,둔촌2동,27484.82267
